title,mode,level,id,thumbnail
Banya-P Guitar Remix,Single,22,SmNEdW5VcWlieFBRKytLY2gxL1Rodz09,https://phoenix.piugame.com/data/song_img/9a1bdf2d0037182f23e312e469221324.png?v=20241031113041
Barber's Madness,Single,22,YURNaWRkbDlzbUQ5blV1SUdIL3VhZz09,https://phoenix.piugame.com/data/song_img/d24baf611d258d15c997afc26b6380fe.png?v=20241031113041
BATTLE NO.1,Single,22,WWNzTExaZlRzdWVFOUtDa0tHZDBLZz09,https://phoenix.piugame.com/data/song_img/12452411f0fddba3caf2382c9bf033f4.png?v=20241031113041
BEDLAM,Single,22,VjZHRm9OcmVDdmxIRUhIS0lMcldYZz09,https://phoenix.piugame.com/data/song_img/2ba16d33a1fcdb8f809904ef5a921f3d.png?v=20241031113041
Bemera - SHORT CUT -,Single,22,NWdLM0xTRXNYcTJVWUlZOWhkQnF6Zz09,https://phoenix.piugame.com/data/song_img/6a85e56f0e34c5b704755073a5d6a790.png?v=20241031113041
BRAIN POWER,Single,22,YjUrMmp0WEhnVEtBT05OS0dhVnRQdz09,https://phoenix.piugame.com/data/song_img/dfc1225d137e799d048a3f5a9906e134.png?v=20241031113041
CHAOS AGAIN,Single,22,YzZMQWw4dC9qb3ZvazQzSHllNzkzZz09,https://phoenix.piugame.com/data/song_img/df2bb22858f58b4cf088ce1866854f2d.png?v=20241031113041
Chobit Flavor,Single,22,NDZjbU85ekFOUEZURHcxUzVGM3JOUT09,https://phoenix.piugame.com/data/song_img/0da2130360d6066534052ce19789e013.png?v=20241031113041
Love is a Danger Zone pt. 2,Single,22,MUJabnpVR25HdWlMUzVEeWZJMmdHUT09,https://phoenix.piugame.com/data/song_img/596f4c25fb4c17443b799fb997846dc5.png?v=20241031113041
Mahika,Single,22,aStvYXREd1BJUnNvY0ZlVFJHQnljdz09,https://phoenix.piugame.com/data/song_img/44568bfe13cdb83384df0b5b14e71e8c.png?v=20241031113041
Mr. Larpus,Single,22,MU1mRU5SMGZoczJZTGo0Tmo3V29tUT09,https://phoenix.piugame.com/data/song_img/d5f90344eb4cee421e77fb595a359d55.png?v=20241031113041
MURDOCH,Single,22,Q3VxRnZGR3ExRWxwR25ic0ZrVDBEQT09,https://phoenix.piugame.com/data/song_img/8eb8a3021756670ce067a3ef7cfb9f2a.png?v=20241031113041
Murdoch vs Otada,Single,22,eklybVJtZmRRNUxFU1FDOXlwZE9CZz09,https://phoenix.piugame.com/data/song_img/f015e7959a852b83b86dd24936870a1e.png?v=20241031113041
Neo Catharsis,Single,22,VGZkVHAyTzY1Vk00VTZ4VlNPRXJCQT09,https://phoenix.piugame.com/data/song_img/14cd5d7a3df1f12b82bccec2faea2705.png?v=20241031113041
